"id","description","appointment_id"
OB8345,"Pink mucosal membrane
Dirty ears
No ticks found",AP1852
OB0082,"Pet is badly matted
Long nails",AP8655
OB9295,,AP3567
OB3756,,AP1959
OB3809,,AP9351
OB2784,"Ticks are present on the body.
Pink mucosal membrane
Dirty aural canal",AP5149
OB0689,Long nails,AP8142
OB5090,,AP2378
OB0781,Pet was apparently healthy.,AP6379
OB1263,"",AP3797
OB8024,"normal vitals
",AP9404
OB8987,normal vitals,AP6767
OB4088,"Pink mucous membrane
",AP7213
OB9851,"Pink mucus membrane. 
No ticks present
Long nails",AP0001
OB9813,"Dry nasal mucous membrane
",AP0956
OB5470,"anaphylactic shock
",AP1083
OB7747,nil,AP4315
OB3394,All other vitals were within normal range.,AP3264
OB4567,Pet was in good shape physically and mentally.,AP8969
OB3562,nil,AP6624
OB9933,normal vitals,AP1268
OB4545,normal vitals,AP5956
OB5927,normal vitals,AP3502
OB4032,mild fever,AP2434
OB5964,"No ectoparasites
matted fur
All other vital parameters were within range.",AP7663
OB6299,lethargic and with poor mentation,AP4963
OB3421,,AP7294
OB3678,"after giving water, temperature became 39.3",AP3820
OB1736,"when given water, RT became 39.5",AP0319
OB6190,No ticks present,AP2783
OB2608,,AP6667
OB2551,"Pale mucus membrane.
Long nails.
Dirty aural canal
No ticks eggs found
Pet vomited on treatment table. Vomitus consist of thread-like materials and grass",AP4603
OB4740,,AP8742
OB8774,"she shakes when eating
reduced appetite",AP8253
OB2678,,AP4974
OB4772,,AP8490
OB7199,"All external organs are intact
No bruises or cuts on the skin
Mild tick infestation in the ear canal",AP6673
OB1102,NIL,AP3098
OB5751,nil,AP6666
OB1551,patient was generally weak and inactive ,AP4488
OB4809,nil,AP4296
OB1738,nil,AP5078
OB0424,,AP4490
OB8276,"Pink mucosal membrane
Long nails",AP4708
OB4124,,AP3479
OB2549,,AP7319
OB4641,,AP9573
OB2045,"Pale mucosal membrane
Long nails
Few ticks present on the body
",AP4004
OB1429,"Long nails
Pet was very agitated, hence the high temperature.
Pink mucosal membrane ",AP4843
OB4495,"Pink mucosal membrane
Long nails",AP8501
